,depth,angle,EC0,EC1
0,50.0,0.0,0.1,0.4
1,50.0,0.5,0.1,0.4
2,50.0,1.0,0.1,0.4
3,50.0,1.5,0.1,0.4
4,50.0,2.0,0.1,0.4
5,50.0,2.5,0.1,0.4
6,50.0,3.0,0.1,0.4
7,50.0,3.5,0.1,0.4
8,50.0,4.0,0.1,0.4
9,50.0,4.5,0.1,0.4
10,50.0,5.0,0.1,0.4
11,50.0,5.5,0.1,0.4
12,50.0,6.0,0.1,0.4
13,50.0,6.5,0.1,0.4
14,50.0,7.0,0.1,0.4
15,50.0,7.5,0.1,0.4
16,50.0,8.0,0.1,0.4
17,50.0,8.5,0.1,0.4
18,50.0,9.0,0.1,0.4
19,50.0,9.5,0.1,0.4
20,50.0,10.0,0.1,0.4
21,50.0,10.5,0.1,0.4
22,50.0,11.0,0.1,0.4
23,50.0,11.5,0.1,0.4
24,50.0,12.0,0.1,0.4
25,50.0,12.5,0.1,0.4
26,50.0,13.0,0.1,0.4
27,50.0,13.5,0.1,0.4
28,50.0,14.0,0.1,0.4
29,50.0,14.5,0.1,0.4
30,50.0,15.0,0.1,0.4
31,50.0,15.5,0.1,0.4
32,50.0,16.0,0.1,0.4
33,50.0,16.5,0.1,0.4
34,50.0,17.0,0.1,0.4
35,50.0,17.5,0.1,0.4
36,50.0,18.0,0.1,0.4
37,50.0,18.5,0.1,0.4
38,50.0,19.0,0.1,0.4
39,50.0,19.5,0.1,0.4
40,50.0,20.0,0.1,0.4
41,50.0,20.5,0.1,0.4
42,50.0,21.0,0.1,0.4
43,50.0,21.5,0.1,0.4
44,50.0,22.0,0.1,0.4
45,50.0,22.5,0.1,0.4
46,50.0,23.0,0.1,0.4
47,50.0,23.5,0.1,0.4
48,50.0,24.0,0.1,0.4
49,50.0,24.5,0.1,0.4
50,50.0,25.0,0.1,0.4
51,50.0,25.5,0.1,0.4
52,50.0,26.0,0.1,0.4
53,50.0,26.5,0.1,0.4
54,50.0,27.0,0.1,0.4
55,50.0,27.5,0.1,0.4
56,50.0,28.0,0.1,0.4
57,50.0,28.5,0.1,0.4
58,50.0,29.0,0.1,0.4
59,50.0,29.5,0.1,0.4
60,50.0,30.0,0.1,0.4
61,50.0,30.5,0.1,0.4
62,50.0,31.0,0.1,0.4
63,50.0,31.5,0.1,0.4
64,50.0,32.0,0.1,0.4
65,50.0,32.5,0.1,0.4
66,50.0,33.0,0.1,0.4
67,50.0,33.5,0.1,0.4
68,50.0,34.0,0.1,0.4
69,50.0,34.5,0.1,0.4
70,50.0,35.0,0.1,0.4
71,50.0,35.5,0.1,0.4
72,50.0,36.0,0.1,0.4
73,50.0,36.5,0.1,0.4
74,50.0,37.0,0.1,0.4
75,50.0,37.5,0.1,0.4
76,50.0,38.0,0.1,0.4
77,50.0,38.5,0.1,0.4
78,50.0,39.0,0.1,0.4
79,50.0,39.5,0.1,0.4
80,50.0,40.0,0.1,0.4
81,50.0,40.5,0.1,0.4
82,50.0,41.0,0.1,0.4
83,50.0,41.5,0.1,0.4
84,50.0,42.0,0.1,0.4
85,50.0,42.5,0.1,0.4
86,50.0,43.0,0.1,0.4
87,50.0,43.5,0.1,0.4
88,50.0,44.0,0.1,0.4
89,50.0,44.5,0.1,0.4
90,50.0,45.0,0.1,0.4
91,50.0,45.5,0.1,0.4
92,50.0,46.0,0.1,0.4
93,50.0,46.5,0.1,0.4
94,50.0,47.0,0.1,0.4
95,50.0,47.5,0.1,0.4
96,50.0,48.0,0.1,0.4
97,50.0,48.5,0.1,0.4
98,50.0,49.0,0.1,0.4
99,50.0,49.5,0.1,0.4
100,50.0,50.0,0.1,0.4
101,50.0,50.5,0.1,0.4
102,50.0,51.0,0.1,0.4
103,50.0,51.5,0.1,0.4
104,50.0,52.0,0.1,0.4
105,50.0,52.5,0.1,0.4
106,50.0,53.0,0.1,0.4
107,50.0,53.5,0.1,0.4
108,50.0,54.0,0.1,0.4
